CODICE STS,DESCRIZIONE STS,CODICE CATALOGO,DESCRZIONE CATALOGO,GG ATTESA MEDI,MESE,ANNO
000256,VERBANIA,8703.1,Tac del cranio,130,5,2024
000256,VERBANIA,8703.1,Tac del cranio,128,6,2024
000256,VERBANIA,8703.1,Tac del cranio,155,7,2024
000256,VERBANIA,8703.1,Tac del cranio,171,8,2024
000256,VERBANIA,8703.1,Tac del cranio,182,9,2024
000256,VERBANIA,87031.0,Tac della sella turcica e orbite, senza e con contrasto,206,1,2024
000256,VERBANIA,87031.0,Tac della sella turcica e orbite, senza e con contrasto,217,2,2024
000256,VERBANIA,87031.0,Tac della sella turcica e orbite, senza e con contrasto,237,3,2024
000256,VERBANIA,87031.0,Tac della sella turcica e orbite, senza e con contrasto,225,4,2024
000256,VERBANIA,87031.0,Tac della sella turcica e orbite, senza e con contrasto,227,5,2024
000256,VERBANIA,87031.0,Tac della sella turcica e orbite, senza e con contrasto,231,6,2024
000256,VERBANIA,87031.0,Tac della sella turcica e orbite, senza e con contrasto,245,7,2024
000256,VERBANIA,87031.0,Tac della sella turcica e orbite, senza e con contrasto,239,8,2024
000256,VERBANIA,87031.0,Tac della sella turcica e orbite, senza e con contrasto,234,9,2024
000256,VERBANIA,87031.1,Tac del cranio, senza e con contrasto,206,1,2024
000256,VERBANIA,87031.1,Tac del cranio, senza e con contrasto,217,2,2024
000256,VERBANIA,87031.1,Tac del cranio, senza e con contrasto,146,3,2024
000256,VERBANIA,87031.1,Tac del cranio, senza e con contrasto,225,4,2024
000256,VERBANIA,87031.1,Tac del cranio, senza e con contrasto,227,5,2024
000256,VERBANIA,87031.1,Tac del cranio, senza e con contrasto,231,6,2024
000256,VERBANIA,87031.1,Tac del cranio, senza e con contrasto,245,7,2024
000256,VERBANIA,87031.1,Tac del cranio, senza e con contrasto,239,8,2024
000256,VERBANIA,87031.1,Tac del cranio, senza e con contrasto,234,9,2024
000256,VERBANIA,8741.0,Tac del torace,206,1,2024
000256,VERBANIA,8741.0,Tac del torace,217,2,2024
000256,VERBANIA,8741.0,Tac del torace,233,3,2024
000256,VERBANIA,8741.0,Tac del torace,225,4,2024
000256,VERBANIA,8741.0,Tac del torace,227,5,2024
000256,VERBANIA,8741.0,Tac del torace,231,6,2024
