ASL,ANNO,SETTIMANA_INDICE,ID_PRESTAZIONE,DESC_PRESTAZIONE,COD_PRESTAZIONE,PRENOTAZIONI,PRENOTAZIONI_DAGARANTIRE,PRENOTAZIONI_DAGARANTIRE_B,PRENOTAZIONI_DAGARANTIRE_B_TMAX,PRENOTAZIONI_DAGARANTIRE_D,PRENOTAZIONI_DAGARANTIRE_D_TMAX,PRENOTAZIONI_DAGARANTIRE_P,PRENOTAZIONI_DAGARANTIRE_P_TMAX
160106,2021,12-16 LUGLIO 2021,15,"Mammografia bilaterale",87.37.1,70,64,7,2,7,7,50,50
160106,2021,12-16 LUGLIO 2021,16,"Mammografia monolaterale",87.37.2,6,5,1,1,,,4,4
160106,2021,12-16 LUGLIO 2021,17,"TC del Torace",87.41,28,28,4,3,9,6,15,15
160106,2021,12-16 LUGLIO 2021,18,"TC del Torace senza e con MDC",87.41.1,55,53,12,3,14,14,24,21
160106,2021,12-16 LUGLIO 2021,19,"TC dell'addome superiore",88.01.1,1,1,,,1,1,,
160106,2021,12-16 LUGLIO 2021,20,"TC dell'addome superiore senza e con MDC",88.01.2,3,3,1,1,1,1,1,1
160106,2021,12-16 LUGLIO 2021,21,"TC dell'addome inferiore",88.01.3,1,1,,,1,1,,
160106,2021,12-16 LUGLIO 2021,22,"TC dell'addome inferiore senza e con MDC",88.01.4,2,2,1,1,1,1,,
160106,2021,12-16 LUGLIO 2021,23,"TC dell'addome completo",88.01.5,9,9,1,,1,1,7,7
160106,2021,12-16 LUGLIO 2021,24,"TC dell'addome completo senza e con MDC",88.01.6,57,56,9,,16,14,27,24
160106,2021,12-16 LUGLIO 2021,25,"TC Cranio - encefalo",87.03,17,16,6,1,1,1,9,9
160106,2021,12-16 LUGLIO 2021,26,"TC Cranio - encefalo senza e con MDC",87.03.1,28,27,8,4,7,7,10,8
160106,2021,12-16 LUGLIO 2021,27,"TC del rachide e dello speco vertebrale cervicale",88.38.1,2,2,1,,1,,,
160106,2021,12-16 LUGLIO 2021,28,"TC del rachide e dello speco vertebrale toracico",88.38.1,,,,,,,,
160106,2021,12-16 LUGLIO 2021,29,"TC del rachide e dello speco vertebrale lombosacrale",88.38.1,5,5,,,4,1,1,1
160106,2021,12-16 LUGLIO 2021,30,"TC del rachide e dello speco vertebrale cervicale senza e con MDC",88.38.2,,,,,,,,
160106,2021,12-16 LUGLIO 2021,31,"TC del rachide e dello speco vertebrale toracico senza e con MDC",88.38.2,,,,,,,,
160106,2021,12-16 LUGLIO 2021,32,"TC del rachide e dello speco vertebrale lombosacrale senza e con MDC",88.38.2,,,,,,,,
160106,2021,12-16 LUGLIO 2021,33,"TC di Bacino e articolazioni sacroiliache",88.38.5,1,1,,,1,1,,
160106,2021,12-16 LUGLIO 2021,34,"RM di encefalo e tronco encefalico, giunzione cranio spinale e relativo distretto vascolare",88.91.1,5,5,3,2,,,2,2
