"ASL","ANNO","SETTIMANA_INDICE","ID_PRESTAZIONE","DESC_PRESTAZIONE","COD_PRESTAZIONE","PRENOTAZIONI","PRENOTAZIONI_DAGARANTIRE","PRENOTAZIONI_DAGARANTIRE_B","PRENOTAZIONI_DAGARANTIRE_B_TMAX","PRENOTAZIONI_DAGARANTIRE_D","PRENOTAZIONI_DAGARANTIRE_D_TMAX","PRENOTAZIONI_DAGARANTIRE_P","PRENOTAZIONI_DAGARANTIRE_P_TMAX"
"160113","2023","09-13 GENNAIO 2023",29,"TC del rachide e dello speco vertebrale lombosacrale","88.38.1",17,12,3,3,4,4,5,5
"160113","2023","09-13 GENNAIO 2023",30,"TC del rachide e dello speco vertebrale cervicale senza e con MDC","88.38.2",,,,,,,,
"160113","2023","09-13 GENNAIO 2023",31,"TC del rachide e dello speco vertebrale toracico senza e con MDC","88.38.2",,,,,,,,
"160113","2023","09-13 GENNAIO 2023",32,"TC del rachide e dello speco vertebrale lombosacrale senza e con MDC","88.38.2",1,1,1,,,,,
"160113","2023","09-13 GENNAIO 2023",33,"TC di Bacino e articolazioni sacroiliache","88.38.5",1,1,,,,,1,1
"160113","2023","09-13 GENNAIO 2023",34,"RM di encefalo e tronco encefalico, giunzione cranio spinale e relativo distretto vascolare","88.91.1",40,40,16,,14,11,10,9
"160113","2023","09-13 GENNAIO 2023",35,"RM di encefalo e tronco encefalico, giunzione cranio spinale e relativo distretto vascolare senza e con MDC","88.91.2",43,37,22,2,14,1,1,1
"160113","2023","09-13 GENNAIO 2023",36,"RM di addome inferiore e scavo pelvico","88.95.4",4,4,2,,1,,1,
"160113","2023","09-13 GENNAIO 2023",37,"RM di addome inferiore e scavo pelvico senza e con MDC","88.95.5",41,34,14,1,8,1,12,11
"160113","2023","09-13 GENNAIO 2023",38,"RM della colonna in toto","88.93",,,,,,,,
"160113","2023","09-13 GENNAIO 2023",39,"RM della colonna in toto senza e con MDC","88.93.1",,,,,,,,
"160113","2023","09-13 GENNAIO 2023",40,"Diagnostica ecografica del capo e del collo","88.71.4",144,103,35,10,47,37,21,20
"160113","2023","09-13 GENNAIO 2023",41,"Eco (color) dopplergrafia cardiaca","88.72.3",56,47,6,,32,4,9,3
"160113","2023","09-13 GENNAIO 2023",42,"Eco (color) dopplergrafia dei tronchi sovra aortici","88.73.5",132,107,21,9,61,41,25,6
"160113","2023","09-13 GENNAIO 2023",43,"Ecografia dell’addome superiore","88.74.1",121,93,26,10,49,48,18,17
"160113","2023","09-13 GENNAIO 2023",44,"Ecografia dell’addome inferiore","88.75.1",32,27,14,2,4,4,9,9
"160113","2023","09-13 GENNAIO 2023",45,"Ecografia dell’addome completo","88.76.1",323,202,60,47,85,78,57,52
"160113","2023","09-13 GENNAIO 2023",46,"Ecografia bilaterale della mammella","88.73.1",124,113,26,8,48,22,39,10
"160113","2023","09-13 GENNAIO 2023",47,"Ecografia monolaterale della mammella","88.73.2",,,,,,,,
"160113","2023","09-13 GENNAIO 2023",48,"Ecografia ostetrica","88.78",30,27,4,3,7,7,16,16
"160113","2023","09-13 GENNAIO 2023",49,"Ecografia ginecologica","88.78.2",33,24,5,2,17,8,2,2
"160113","2023","09-13 GENNAIO 2023",50,"Ecocolor doppler degli arti inferiori arterioso e/o venoso","88.77.2",104,89,44,4,42,17,3,
"160113","2023","09-13 GENNAIO 2023",51,"Colonscopia totale con endoscopio flessibile","45.23",71,61,22,9,33,11,6,6
"160113","2023","09-13 GENNAIO 2023",52,"Polipectomia dell’intestino crasso in corso di endoscopia sede unica","45.42",1,1,,,1,1,,
"160113","2023","09-13 GENNAIO 2023",53,"Rettosigmoidoscopia con endoscopio flessibile","45.24",,,,,,,,
"160113","2023","09-13 GENNAIO 2023",54,"Esofagogastroduodenoscopia","45.13",61,50,22,4,26,1,2,2
"160113","2023","09-13 GENNAIO 2023",55,"Esofagogastroduodenoscopia con biopsia in sede unica","45.16",56,52,35,5,16,5,1,1
"160113","2023","09-13 GENNAIO 2023",56,"Elettrocardiogramma","89.52",359,258,96,13,126,41,36,15
"160113","2023","09-13 GENNAIO 2023",57,"Elettrocardiogramma dinamico (Holter)","89.50",36,20,3,,12,4,5,3
"160113","2023","09-13 GENNAIO 2023",58,"Test cardiovascolare da sforzo con cicloergometro o con pedana mobile","89.41 - 89.43",23,21,2,,13,1,6,1
"160113","2023","09-13 GENNAIO 2023",59,"Altri test cardiovascolari da sforzo","89.44",,,,,,,,
"160113","2023","09-13 GENNAIO 2023",60,"Esame audiometrico tonale","95.41.1",104,70,22,3,15,11,33,33
"160113","2023","09-13 GENNAIO 2023",61,"Spirometria semplice","89.37.1",95,65,19,12,28,28,18,18
"160113","2023","09-13 GENNAIO 2023",62,"Spirometria globale","89.37.2",50,30,8,6,8,7,14,14
"160113","2023","09-13 GENNAIO 2023",63,"Fotografia del fundus","95.11",,,,,,,,
"160113","2023","09-13 GENNAIO 2023",64,"ELETTROMIOGRAFIA SEMPLICE [EMG] PER ARTO SUPERIORE. Analisi qualitativa fino a 6 muscoli. Non associabile a 93.09.1 e 93.09.2","93.08.1",140,135,28,28,57,57,50,50
