REGIONE,ASL,ANNO,PERIODO_DI_RIFERIMENTO,ID_PRESTAZIONE,DESC_PRESTAZIONE,COD_PRESTAZIONE,EROGAZIONI,EROGAZIONI_DAGARANTIRE,EROGAZIONI_DAGARANTIRE_B,EROGAZIONI_DAGARANTIRE_B_TMAX,EROGAZIONI_DAGARANTIRE_D,EROGAZIONI_DAGARANTIRE_D_TMAX,EROGAZIONI_DAGARANTIRE_P,EROGAZIONI_DAGARANTIRE_P_TMAX
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,49,Ecografia ginecologica,89.18.02,896,206,139,102,61,36,6,6
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,50,Ecocolor doppler degli arti inferiori arterioso e/o venoso,89.17.02,4197,1607,633,271,639,417,322,320
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,51,Colonscopia totale con endoscopio flessibile,45.23.00,1296,404,239,122,165,67,,
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,52,Polipectomia dell’intestino crasso in corso di endoscopia sede unica,45.42.00,110,23,4,3,3,3,16,16
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,53,Rettosigmoidoscopia con endoscopio flessibile,45.24.00,63,4,1,1,3,3,,
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,54,Esofagogastroduodenoscopia,45.13.00,1172,613,248,101,251,146,111,111
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,55,Esofagogastroduodenoscopia con biopsia in sede unica,45.16.00,979,313,209,61,103,63,1,1
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,56,Elettrocardiogramma,89.52.00,10693,3231,1550,784,1332,926,316,316
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,57,Elettrocardiogramma dinamico (Holter),89.50.00,1932,806,377,172,327,178,93,89
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,58,Test cardiovascolare da sforzo con cicloergometro o con pedana mobile,89.41 - 89.43,968,192,108,28,84,27,,
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,59,Altri test cardiovascolari da sforzo,89.44.00,39,1,1,1,,,,
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,60,Esame audiometrico tonale,95.41.01,3152,1047,433,172,511,308,103,103
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,61,Spirometria semplice,89.37.01,1889,710,361,225,253,204,93,93
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,62,Spirometria globale,89.37.02,1379,491,179,109,238,202,68,68
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,63,Fotografia del fundus,95.11.00,22,,,,,,,
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,64,ELETTROMIOGRAFIA SEMPLICE [EMG] PER ARTO SUPERIORE. Analisi qualitativa fino a 6 muscoli. Non associabile a 93.09.1 e 93.09.2,93.08.01,7320,2732,1009,531,1130,804,561,561
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,65,ELETTROMIOGRAFIA SEMPLICE [EMG] PER ARTO INFERIORE fino a 4 muscoli. Analisi qualitativa. Non associabile a 93.09.1 e 93.09.2,93.08.01,,,,,,,,
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,66 - 67,ELETTROMIOGRAFIA SEMPLICE [EMG] DEL CAPO fino a 4 muscoli. Analisi qualitativa. Escluso: EMG dell'occhio (95.25) e POLISONNOGRAFIA (89.17),93.08.01,,,,,,,,
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,,ELETTROMIOGRAFIA SEMPLICE [EMG] DEL TRONCO. Analisi qualitativa. Fino a 4 muscoli,,,,,,,,,
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,68,"VALUTAZIONE EMG DINAMICA DEL CAMMINO. Valutazione EMG di superficie o con elettrodi a filo (4 muscoli), associato ad esame basografico per la definizione delle fasi del passo. Non associabile a ANALISI DELLA CINEMATICA E DELLA DINAMICA DEL PASSO (93.05.7)",93.08.01,,,,,,,,
PUGLIA,BARI - 160114,2024,I TRIMESTRE 2024,69,EMG DINAMICA DELL'ARTO SUPERIORE. Valutazione EMG di superficie o con elettrodi a filo (4 muscoli),93.08.01,,,,,,,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,1,Prima Visita cardiologica,89.7,3999,1731,895,470,726,443,106,106
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,2,Prima Visita chirurgia vascolare,89.7,355,123,66,30,57,34,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,3,Prima Visita endocrinologica,89.7,1405,680,264,130,298,156,117,117
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,4,Prima Visita neurologica,89.13.00,2306,729,431,265,298,200,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,5,Prima Visita oculistica,95.02.00,1698,686,334,124,352,166,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,6,Prima Visita ortopedica,89.7,1441,643,326,135,317,141,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,7,Prima Visita ginecologica,89.26.00,1032,392,155,118,237,187,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,8,Prima Visita otorinolaringoiatrica,89.7,2086,1196,629,263,567,199,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,9,Prima Visita urologica,89.7,590,327,166,51,161,62,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,10,Prima Visita dermatologica,89.7,3297,2027,667,464,1006,754,352,352
