Stazioni;Data;T-MIN;T-MAX
Ferentino;27/07/2022;22,0;35,6
Ferentino;28/07/2022;22,2;35,3
Ferentino;29/07/2022;21,0;35,0
Ferentino;30/07/2022;21,8;34,7
Ferentino;31/07/2022;21,0;34,5
Fianello;01/07/2022;16,6;39,5
Fianello;02/07/2022;17,0;41,2
Fianello;03/07/2022;20,8;41,9
Fianello;04/07/2022;20,8;42,2
Fianello;05/07/2022;20,9;41,2
Fianello;06/07/2022;19,8;42,3
Fianello;07/07/2022;17,2;40,4
Fianello;08/07/2022;15,4;30,0
Fianello;09/07/2022;17,6;31,8
Fianello;10/07/2022;14,7;36,7
Fianello;11/07/2022;16,9;37,8
Fianello;12/07/2022;17,6;39,4
Fianello;13/07/2022;18,2;36,4
Fianello;14/07/2022;17,1;38,7
Fianello;15/07/2022;18,3;41,6
Fianello;16/07/2022;19,1;40,6
Fianello;17/07/2022;18,3;42,2
Fianello;18/07/2022;20,6;42,2
Fianello;19/07/2022;19,1;41,8
Fianello;20/07/2022;19,2;41,5
Fianello;21/07/2022;20,1;42,2
Fianello;22/07/2022;21,4;44,0
Fianello;23/07/2022;21,0;44,0
Fianello;24/07/2022;20,4;42,8
Fianello;25/07/2022;21,0;42,8
Fianello;26/07/2022;21,1;41,7
Fianello;27/07/2022;21,0;39,5
Fianello;28/07/2022;19,1;40,5
Fianello;29/07/2022;20,3;41,5
Fianello;30/07/2022;20,7;37,8
Fianello;31/07/2022;19,2;40,3
Fiano Romano;01/07/2022;13,5;35,6
Fiano Romano;02/07/2022;13,3;38,7
Fiano Romano;03/07/2022;17,1;39,7
Fiano Romano;04/07/2022;18,6;39,7
Fiano Romano;05/07/2022;17,7;37,1
Fiano Romano;06/07/2022;16,4;37,8
Fiano Romano;07/07/2022;18,0;35,4
Fiano Romano;08/07/2022;16,9;31,3
Fiano Romano;09/07/2022;19,2;32,8
Fiano Romano;10/07/2022;14,2;32,9
Fiano Romano;11/07/2022;15,5;33,9
Fiano Romano;12/07/2022;16,7;33,4
Fiano Romano;13/07/2022;17,3;33,6
Fiano Romano;14/07/2022;15,4;33,7
Fiano Romano;15/07/2022;17,1;37,4
Fiano Romano;16/07/2022;16,7;36,6
Fiano Romano;17/07/2022;15,8;38,4
Fiano Romano;18/07/2022;17,4;38,9
Fiano Romano;19/07/2022;17,8;37,6
Fiano Romano;20/07/2022;17,6;36,9
Fiano Romano;21/07/2022;18,7;38,3
Fiano Romano;22/07/2022;20,6;40,1
Fiano Romano;23/07/2022;19,5;38,2
Fiano Romano;24/07/2022;18,8;37,7
Fiano Romano;25/07/2022;18,8;38,4
Fiano Romano;26/07/2022;19,8;36,7
Fiano Romano;27/07/2022;20,8;34,7
Fiano Romano;28/07/2022;19,3;35,4
Fiano Romano;29/07/2022;19,4;36,4
Fiano Romano;30/07/2022;19,5;34,6
Fiano Romano;31/07/2022;20,3;36,7
Filettino;01/07/2022;14,9;31,1
Filettino;02/07/2022;16,4;31,7
Filettino;03/07/2022;18,4;32,5
Filettino;04/07/2022;18,9;33,1
Filettino;05/07/2022;18,7;31,5
Filettino;06/07/2022;17,0;31,1
Filettino;07/07/2022;14,0;28,8
Filettino;08/07/2022;12,4;23,0
Filettino;09/07/2022;14,4;25,4
Filettino;10/07/2022;13,4;24,2
Filettino;11/07/2022;13,2;24,8
Filettino;12/07/2022;14,6;26,0
Filettino;13/07/2022;14,9;26,5
Filettino;14/07/2022;12,6;28,8
Filettino;15/07/2022;15,3;30,3
Filettino;16/07/2022;17,4;30,6
Filettino;17/07/2022;18,4;32,0
Filettino;18/07/2022;15,4;29,3
Filettino;19/07/2022;15,7;29,2
Filettino;20/07/2022;16,6;29,4
Filettino;21/07/2022;17,3;30,8
Filettino;22/07/2022;19,0;31,2
Filettino;23/07/2022;18,4;31,1
Filettino;24/07/2022;17,7;31,1
Filettino;25/07/2022;18,4;31,5
Filettino;26/07/2022;17,3;30,5
Filettino;27/07/2022;17,1;28,6
Filettino;28/07/2022;16,8;29,5
Filettino;29/07/2022;15,3;29,3
Filettino;30/07/2022;16,4;28,1
Filettino;31/07/2022;15,5;27,7
Fiora a Montalto di Castro;01/07/2022;15,3;30,8
Fiora a Montalto di Castro;02/07/2022;16,7;36,3
Fiora a Montalto di Castro;03/07/2022;18,7;35,1
Fiora a Montalto di Castro;04/07/2022;18,6;36,0
Fiora a Montalto di Castro;05/07/2022;18,9;35,3
Fiora a Montalto di Castro;06/07/2022;17,6;34,0
Fiora a Montalto di Castro;07/07/2022;19,0;30,9
Fiora a Montalto di Castro;08/07/2022;17,5;32,1
Fiora a Montalto di Castro;09/07/2022;19,1;33,9
Fiora a Montalto di Castro;10/07/2022;18,5;30,8
Fiora a Montalto di Castro;11/07/2022;15,8;28,9
Fiora a Montalto di Castro;12/07/2022;18,0;29,0
Fiora a Montalto di Castro;13/07/2022;18,2;30,1
Fiora a Montalto di Castro;14/07/2022;18,6;30,9
Fiora a Montalto di Castro;15/07/2022;18,2;32,9
Fiora a Montalto di Castro;16/07/2022;20,0;31,8
Fiora a Montalto di Castro;17/07/2022;17,5;32,5
Fiora a Montalto di Castro;18/07/2022;19,0;34,6
Fiora a Montalto di Castro;19/07/2022;20,2;37,0
Fiora a Montalto di Castro;20/07/2022;18,3;32,3
Fiora a Montalto di Castro;21/07/2022;20,2;33,1
Fiora a Montalto di Castro;22/07/2022;20,7;35,1
Fiora a Montalto di Castro;23/07/2022;21,2;32,4
Fiora a Montalto di Castro;24/07/2022;21,4;32,7
Fiora a Montalto di Castro;25/07/2022;20,3;36,8
Fiora a Montalto di Castro;26/07/2022;20,7;34,7
Fiora a Montalto di Castro;27/07/2022;21,9;32,3
Fiora a Montalto di Castro;28/07/2022;20,4;31,6
Fiora a Montalto di Castro;29/07/2022;19,5;31,6
Fiora a Montalto di Castro;30/07/2022;21,8;32,6
Fiora a Montalto di Castro;31/07/2022;21,0;35,5
Fiuggi;01/07/2022;19,2;33,5
Fiuggi;02/07/2022;18,9;34,6
Fiuggi;03/07/2022;20,4;34,1
Fiuggi;04/07/2022;21,3;34,6
Fiuggi;05/07/2022;21,3;32,4
Fiuggi;06/07/2022;18,9;32,1
Fiuggi;07/07/2022;16,2;31,3
Fiuggi;08/07/2022;12,1;25,3
Fiuggi;09/07/2022;15,0;28,1
Fiuggi;10/07/2022;14,4;27,6
Fiuggi;11/07/2022;15,0;27,3
Fiuggi;12/07/2022;17,1;28,9
Fiuggi;13/07/2022;15,9;29,4
Fiuggi;14/07/2022;15,2;29,6
Fiuggi;15/07/2022;17,9;32,3
Fiuggi;16/07/2022;20,9;32,1
Fiuggi;17/07/2022;20,7;34,2
Fiuggi;18/07/2022;16,0;34,0
Fiuggi;19/07/2022;19,5;32,1
Fiuggi;20/07/2022;19,5;31,9
Fiuggi;21/07/2022;21,3;33,0
Fiuggi;22/07/2022;21,0;34,6
Fiuggi;23/07/2022;22,5;35,2
Fiuggi;24/07/2022;21,0;34,2
Fiuggi;25/07/2022;20,0;33,9
Fiuggi;26/07/2022;20,1;33,0
Fiuggi;27/07/2022;19,4;32,1
Fiuggi;28/07/2022;19,4;33,4
Fiuggi;29/07/2022;17,4;33,1
Fiuggi;30/07/2022;19,3;31,3
Fiuggi;31/07/2022;18,1;30,3
Fondi;01/07/2022;21,6;33,1
Fondi;02/07/2022;21,8;35,0
Fondi;03/07/2022;23,3;35,4
Fondi;04/07/2022;23,5;34,3
Fondi;05/07/2022;23,4;33,3
Fondi;06/07/2022;22,6;34,1
Fondi;07/07/2022;22,8;33,1
Fondi;08/07/2022;18,6;32,2
Fondi;09/07/2022;20,8;30,6
Fondi;10/07/2022;20,3;31,0
Fondi;11/07/2022;20,8;30,9
Fondi;12/07/2022;20,4;33,8
Fondi;13/07/2022;21,8;31,9
Fondi;14/07/2022;21,3;32,1
Fondi;15/07/2022;21,1;32,0
Fondi;16/07/2022;22,5;33,3
Fondi;17/07/2022;22,6;34,9
Fondi;18/07/2022;23,8;35,9
Fondi;19/07/2022;23,7;35,7
Fondi;20/07/2022;23,4;34,9
Fondi;21/07/2022;22,9;33,4
Fondi;22/07/2022;24,3;33,4
Fondi;23/07/2022;24,9;36,5
Fondi;24/07/2022;22,3;33,8
Fondi;25/07/2022;24,2;33,3
Fondi;26/07/2022;24,6;33,5
Fondi;27/07/2022;24,7;33,5
Fondi;28/07/2022;24,2;33,5
Fondi;29/07/2022;22,8;32,6
Fondi;30/07/2022;22,3;33,5
Fondi;31/07/2022;24,2;33,6
Fontana Liri Superiore;01/07/2022;22,7;35,1
Fontana Liri Superiore;02/07/2022;21,4;37,2
Fontana Liri Superiore;03/07/2022;25,3;37,7
Fontana Liri Superiore;04/07/2022;24,3;36,8
Fontana Liri Superiore;05/07/2022;23,8;35,4
Fontana Liri Superiore;06/07/2022;22,6;35,3
Fontana Liri Superiore;07/07/2022;17,7;33,1
Fontana Liri Superiore;08/07/2022;15,7;28,8
Fontana Liri Superiore;09/07/2022;19,4;31,5
Fontana Liri Superiore;10/07/2022;17,9;31,5
Fontana Liri Superiore;11/07/2022;19,1;30,8
Fontana Liri Superiore;12/07/2022;19,7;31,6
Fontana Liri Superiore;13/07/2022;19,9;32,3
Fontana Liri Superiore;14/07/2022;20,3;33,5
Fontana Liri Superiore;15/07/2022;20,5;35,6
Fontana Liri Superiore;16/07/2022;21,5;35,8
Fontana Liri Superiore;17/07/2022;22,8;37,0
Fontana Liri Superiore;18/07/2022;22,9;35,0
Fontana Liri Superiore;19/07/2022;22,4;35,1
Fontana Liri Superiore;20/07/2022;24,1;35,2
Fontana Liri Superiore;21/07/2022;24,0;36,2
Fontana Liri Superiore;22/07/2022;20,7;37,2
Fontana Liri Superiore;23/07/2022;23,3;36,1
Fontana Liri Superiore;24/07/2022;22,6;36,8
Fontana Liri Superiore;25/07/2022;22,3;36,5
Fontana Liri Superiore;26/07/2022;22,1;34,7
Fontana Liri Superiore;27/07/2022;22,0;33,5
Fontana Liri Superiore;28/07/2022;22,6;34,7
Fontana Liri Superiore;29/07/2022;20,9;34,3
Fontana Liri Superiore;30/07/2022;19,0;31,6
Fontana Liri Superiore;31/07/2022;21,0;32,4
Formello;01/07/2022;21,2;34,1
Formello;02/07/2022;22,8;37,6
Formello;03/07/2022;25,4;39,2
Formello;04/07/2022;25,5;38,7
Formello;05/07/2022;23,7;36,4
Formello;06/07/2022;23,8;37,0
Formello;07/07/2022;23,0;34,4
Formello;08/07/2022;17,1;29,7
Formello;09/07/2022;19,0;32,5
Formello;10/07/2022;18,7;32,0
Formello;11/07/2022;19,9;33,5
Formello;12/07/2022;20,1;32,6
Formello;13/07/2022;21,2;31,9
Formello;14/07/2022;21,0;33,1
Formello;15/07/2022;21,9;36,4
Formello;16/07/2022;21,7;35,6
Formello;17/07/2022;23,2;37,4
Formello;18/07/2022;25,1;37,8
Formello;19/07/2022;23,8;38,6
Formello;20/07/2022;23,4;35,7
Formello;21/07/2022;23,0;37,1
Formello;22/07/2022;23,6;39,2
Formello;23/07/2022;23,5;36,3
Formello;24/07/2022;22,9;36,7
Formello;25/07/2022;23,3;37,5
Formello;26/07/2022;24,3;35,7
Formello;27/07/2022;23,4;33,3
Formello;28/07/2022;22,3;33,9
Formello;29/07/2022;22,1;35,1
Formello;30/07/2022;22,7;33,7
Formello;31/07/2022;23,0;37,2
Fosso di Pantanello ad Ostia;01/07/2022;14,8;31,6
Fosso di Pantanello ad Ostia;02/07/2022;15,6;34,7
Fosso di Pantanello ad Ostia;03/07/2022;17,5;35,0
Fosso di Pantanello ad Ostia;04/07/2022;19,2;35,4
Fosso di Pantanello ad Ostia;05/07/2022;19,1;33,4
Fosso di Pantanello ad Ostia;06/07/2022;17,0;33,6
Fosso di Pantanello ad Ostia;07/07/2022;20,8;31,5
Fosso di Pantanello ad Ostia;08/07/2022;18,0;31,0
Fosso di Pantanello ad Ostia;09/07/2022;20,8;32,8
Fosso di Pantanello ad Ostia;10/07/2022;17,6;30,4
Fosso di Pantanello ad Ostia;11/07/2022;16,0;30,1
Fosso di Pantanello ad Ostia;12/07/2022;16,6;30,9
Fosso di Pantanello ad Ostia;13/07/2022;17,7;30,4
Fosso di Pantanello ad Ostia;14/07/2022;18,1;30,0
Fosso di Pantanello ad Ostia;15/07/2022;18,3;32,7
Fosso di Pantanello ad Ostia;16/07/2022;18,3;32,5
Fosso di Pantanello ad Ostia;17/07/2022;17,6;34,1
Fosso di Pantanello ad Ostia;18/07/2022;17,4;34,2
Fosso di Pantanello ad Ostia;19/07/2022;19,5;33,9
Fosso di Pantanello ad Ostia;20/07/2022;18,4;32,6
Fosso di Pantanello ad Ostia;21/07/2022;19,9;33,7
Fosso di Pantanello ad Ostia;22/07/2022;22,5;34,4
Fosso di Pantanello ad Ostia;23/07/2022;21,3;33,7
Fosso di Pantanello ad Ostia;24/07/2022;20,3;32,2
Fosso di Pantanello ad Ostia;25/07/2022;20,3;34,8
Fosso di Pantanello ad Ostia;26/07/2022;20,9;32,0
Fosso di Pantanello ad Ostia;27/07/2022;22,2;32,4
Fosso di Pantanello ad Ostia;28/07/2022;20,8;31,7
Fosso di Pantanello ad Ostia;29/07/2022;20,2;32,2
Fosso di Pantanello ad Ostia;30/07/2022;19,6;32,0
Fosso di Pantanello ad Ostia;31/07/2022;19,6;32,8
Frascati;01/07/2022;22,7;34,3
Frascati;02/07/2022;23,2;36,8
Frascati;03/07/2022;26,8;38,1
Frascati;04/07/2022;26,0;38,0
Frascati;05/07/2022;25,5;36,4
Frascati;06/07/2022;24,4;36,2
Frascati;07/07/2022;22,5;34,9
Frascati;08/07/2022;16,3;29,4
Frascati;09/07/2022;19,9;31,6
Frascati;10/07/2022;19,8;31,3
Frascati;11/07/2022;20,1;32,6
Frascati;12/07/2022;21,3;32,8
Frascati;13/07/2022;22,4;31,9
Frascati;14/07/2022;21,1;32,2
Frascati;15/07/2022;22,0;36,5
Frascati;16/07/2022;23,4;35,3
Frascati;17/07/2022;24,2;37,5
Frascati;18/07/2022;25,1;37,1
Frascati;19/07/2022;25,3;36,2
Frascati;20/07/2022;24,3;34,3
Frascati;21/07/2022;24,1;38,0
Frascati;22/07/2022;24,4;38,4
Frascati;23/07/2022;24,1;36,6
Frascati;24/07/2022;23,2;35,7
Frascati;25/07/2022;23,8;37,4
Frascati;26/07/2022;24,6;35,2
Frascati;27/07/2022;23,8;32,9
Frascati;28/07/2022;23,5;33,1
Frascati;29/07/2022;22,3;33,5
Frascati;30/07/2022;23,1;33,3
Frascati;31/07/2022;23,8;34,2
Frosinone;01/07/2022;15,9;37,7
Frosinone;02/07/2022;14,2;39,2
Frosinone;03/07/2022;16,3;40,4
Frosinone;04/07/2022;17,4;41,1
Frosinone;05/07/2022;17,4;37,6
Frosinone;06/07/2022;15,6;39,1
Frosinone;07/07/2022;17,6;35,7
Frosinone;08/07/2022;15,6;32,2
Frosinone;09/07/2022;17,0;33,9
Frosinone;10/07/2022;13,6;32,6
Frosinone;11/07/2022;13,5;33,5
Frosinone;12/07/2022;15,2;36,6
Frosinone;13/07/2022;17,2;35,7
Frosinone;14/07/2022;13,6;35,7
Frosinone;15/07/2022;14,7;39,4
Frosinone;16/07/2022;16,4;39,4
Frosinone;17/07/2022;16,7;41,9
Frosinone;18/07/2022;18,4;41,1
Frosinone;19/07/2022;16,8;39,4
Frosinone;20/07/2022;18,1;39,2
Frosinone;21/07/2022;18,0;39,6
Frosinone;22/07/2022;19,2;41,1
Frosinone;23/07/2022;19,0;40,5
Frosinone;24/07/2022;15,6;40,3
Frosinone;25/07/2022;18,7;40,4
Frosinone;26/07/2022;18,9;38,5
Frosinone;27/07/2022;19,3;38,4
Frosinone;28/07/2022;20,2;38,2
Frosinone;29/07/2022;17,8;38,2
Frosinone;30/07/2022;19,1;35,6
Frosinone;31/07/2022;18,4;38,0
Gaeta;01/07/2022;23,0;34,5
Gaeta;02/07/2022;23,1;35,1
Gaeta;03/07/2022;24,2;36,4
Gaeta;04/07/2022;24,5;33,1
Gaeta;05/07/2022;24,3;32,0
Gaeta;06/07/2022;23,3;33,7
Gaeta;07/07/2022;23,3;32,8
Gaeta;08/07/2022;17,6;31,6
Gaeta;09/07/2022;21,3;31,0
Gaeta;10/07/2022;22,3;31,3
Gaeta;11/07/2022;21,9;31,8
Gaeta;12/07/2022;21,8;29,8
Gaeta;13/07/2022;22,5;32,0
Gaeta;14/07/2022;22,4;31,8
Gaeta;15/07/2022;22,3;32,2
Gaeta;16/07/2022;23,8;32,9
Gaeta;17/07/2022;23,7;32,7
Gaeta;18/07/2022;24,1;36,9
Gaeta;19/07/2022;24,6;37,0
Gaeta;20/07/2022;24,3;35,0
Gaeta;21/07/2022;23,5;33,2
Gaeta;22/07/2022;25,2;33,5
Gaeta;23/07/2022;25,0;34,1
Gaeta;24/07/2022;24,4;33,5
Gaeta;25/07/2022;25,4;33,8
Gaeta;26/07/2022;25,6;33,3
Gaeta;27/07/2022;25,2;33,2
Gaeta;28/07/2022;24,5;33,9
Gaeta;29/07/2022;23,4;32,2
Gaeta;30/07/2022;23,2;33,4
Gaeta;31/07/2022;24,2;34,3
Giuliano di Roma;01/07/2022;23,2;34,5
Giuliano di Roma;02/07/2022;22,2;36,0
Giuliano di Roma;03/07/2022;24,6;36,5
Giuliano di Roma;04/07/2022;24,7;36,1
Giuliano di Roma;05/07/2022;24,0;34,4
Giuliano di Roma;06/07/2022;22,6;34,6
Giuliano di Roma;07/07/2022;20,8;32,8
Giuliano di Roma;08/07/2022;17,3;30,7
Giuliano di Roma;09/07/2022;20,9;30,9
Giuliano di Roma;10/07/2022;18,3;28,8
Giuliano di Roma;11/07/2022;19,7;30,2
Giuliano di Roma;12/07/2022;20,0;31,7
Giuliano di Roma;13/07/2022;21,1;30,3
Giuliano di Roma;14/07/2022;20,2;31,9
Giuliano di Roma;15/07/2022;20,9;33,8
Giuliano di Roma;16/07/2022;22,4;33,9
Giuliano di Roma;17/07/2022;22,8;35,9
Giuliano di Roma;18/07/2022;24,4;35,9
Giuliano di Roma;19/07/2022;23,0;34,4
Giuliano di Roma;20/07/2022;23,9;34,5
Giuliano di Roma;21/07/2022;24,3;34,3
Giuliano di Roma;22/07/2022;24,2;34,6
Giuliano di Roma;23/07/2022;24,3;35,1
Giuliano di Roma;24/07/2022;23,2;34,4
Giuliano di Roma;25/07/2022;23,3;34,2
Giuliano di Roma;26/07/2022;23,8;33,4
Giuliano di Roma;27/07/2022;22,8;33,2
Giuliano di Roma;28/07/2022;23,5;33,6
Giuliano di Roma;29/07/2022;21,9;32,9
Giuliano di Roma;30/07/2022;22,5;32,5
Giuliano di Roma;31/07/2022;21,8;32,1
Graffignano;01/07/2022;14,3;36,8
Graffignano;02/07/2022;15,1;39,5
Graffignano;03/07/2022;19,2;41,0
Graffignano;04/07/2022;18,7;40,2
Graffignano;05/07/2022;18,0;39,2
Graffignano;06/07/2022;17,5;37,7
Graffignano;07/07/2022;17,2;36,8
Graffignano;08/07/2022;16,1;29,3
Graffignano;09/07/2022;18,6;31,1
Graffignano;10/07/2022;17,8;33,8
Graffignano;11/07/2022;14,3;34,9
Graffignano;12/07/2022;17,5;34,7
Graffignano;13/07/2022;16,9;35,4
Graffignano;14/07/2022;14,8;37,3
Graffignano;15/07/2022;18,0;38,8
Graffignano;16/07/2022;17,3;37,0
Graffignano;17/07/2022;16,0;39,8
Graffignano;18/07/2022;19,3;39,8
Graffignano;19/07/2022;17,5;39,0
Graffignano;20/07/2022;16,3;39,1
Graffignano;21/07/2022;17,9;39,4
Graffignano;22/07/2022;19,6;40,1
Graffignano;23/07/2022;18,9;38,7
Graffignano;24/07/2022;18,9;39,7
Graffignano;25/07/2022;19,2;39,2
Graffignano;26/07/2022;19,0;38,7
Graffignano;27/07/2022;21,0;36,7
Graffignano;28/07/2022;17,8;37,9
Graffignano;29/07/2022;18,2;37,5
Graffignano;30/07/2022;20,3;35,7
Graffignano;31/07/2022;17,9;36,6
Guadamello;01/07/2022;14,5;36,0
Guadamello;02/07/2022;15,0;38,4
Guadamello;03/07/2022;18,4;39,6
Guadamello;04/07/2022;18,9;39,7
Guadamello;05/07/2022;17,8;38,1
Guadamello;06/07/2022;17,8;37,3
Guadamello;07/07/2022;18,2;34,9
Guadamello;08/07/2022;15,8;29,6
Guadamello;09/07/2022;16,0;29,9
Guadamello;10/07/2022;14,5;32,9
Guadamello;11/07/2022;15,8;33,4
Guadamello;12/07/2022;17,0;34,1
Guadamello;13/07/2022;17,8;34,4
Guadamello;14/07/2022;16,2;35,9
Guadamello;15/07/2022;17,7;37,6
Guadamello;16/07/2022;18,2;37,1
Guadamello;17/07/2022;17,0;38,7
Guadamello;18/07/2022;19,3;37,4
Guadamello;19/07/2022;18,7;38,0
Guadamello;20/07/2022;18,6;37,4
Guadamello;21/07/2022;19,3;38,3
Guadamello;22/07/2022;20,0;39,6
Guadamello;23/07/2022;19,8;38,4
Guadamello;24/07/2022;19,0;38,5
Guadamello;25/07/2022;20,3;37,9
Guadamello;26/07/2022;19,5;37,1
Guadamello;27/07/2022;20,1;34,5
Guadamello;28/07/2022;18,6;35,7
Guadamello;29/07/2022;19,1;36,7
Guadamello;30/07/2022;19,3;32,1
Guadamello;31/07/2022;17,7;35,8
Guidonia;01/07/2022;21,9;36,6
Guidonia;02/07/2022;21,1;39,6
Guidonia;03/07/2022;23,9;40,2
Guidonia;04/07/2022;24,7;39,9
Guidonia;05/07/2022;23,8;37,8
Guidonia;06/07/2022;22,7;37,8
Guidonia;07/07/2022;24,1;35,4
Guidonia;08/07/2022;17,4;31,5
Guidonia;09/07/2022;19,4;33,3
Guidonia;10/07/2022;19,0;33,7
Guidonia;11/07/2022;20,0;33,7
Guidonia;12/07/2022;20,9;34,5
Guidonia;13/07/2022;21,6;33,4
Guidonia;14/07/2022;20,6;34,9
Guidonia;15/07/2022;21,5;36,6
Guidonia;16/07/2022;22,1;36,9
Guidonia;17/07/2022;22,6;38,6
Guidonia;18/07/2022;24,4;38,8
Guidonia;19/07/2022;23,1;38,4
Guidonia;20/07/2022;23,7;36,7
Guidonia;21/07/2022;23,7;38,0
Guidonia;22/07/2022;24,5;40,4
Guidonia;23/07/2022;24,0;38,4
Guidonia;24/07/2022;23,1;37,5
Guidonia;25/07/2022;23,4;37,7
Guidonia;26/07/2022;24,1;36,5
Guidonia;27/07/2022;24,7;35,3
Guidonia;28/07/2022;23,5;35,4
Guidonia;29/07/2022;22,6;36,0
Guidonia;30/07/2022;23,5;35,8
Guidonia;31/07/2022;23,1;36,8
Ischia di Castro;01/07/2022;19,6;32,6
Ischia di Castro;02/07/2022;19,6;35,3
Ischia di Castro;03/07/2022;24,1;36,8
Ischia di Castro;04/07/2022;25,1;36,9
Ischia di Castro;05/07/2022;23,5;34,5
Ischia di Castro;06/07/2022;22,1;35,2
Ischia di Castro;07/07/2022;16,8;33,0
Ischia di Castro;08/07/2022;16,3;26,7
Ischia di Castro;09/07/2022;16,5;27,6
Ischia di Castro;10/07/2022;16,1;30,0
Ischia di Castro;11/07/2022;18,7;31,3
Ischia di Castro;12/07/2022;18,4;30,6
Ischia di Castro;13/07/2022;18,4;31,6
Ischia di Castro;14/07/2022;20,1;32,4
Ischia di Castro;15/07/2022;19,8;34,7
Ischia di Castro;16/07/2022;20,7;33,2
Ischia di Castro;17/07/2022;20,7;35,1
Ischia di Castro;18/07/2022;23,5;35,3
Ischia di Castro;19/07/2022;23,0;35,5
Ischia di Castro;20/07/2022;21,6;35,2
Ischia di Castro;21/07/2022;20,1;36,1
Ischia di Castro;22/07/2022;23,4;36,5
Ischia di Castro;23/07/2022;21,1;34,3
Ischia di Castro;24/07/2022;21,9;35,1
Ischia di Castro;25/07/2022;22,8;34,5
Ischia di Castro;26/07/2022;22,4;34,9
Ischia di Castro;27/07/2022;19,7;32,8
Ischia di Castro;28/07/2022;20,2;33,2
Ischia di Castro;29/07/2022;20,0;33,5
Ischia di Castro;30/07/2022;20,6;31,7
Ischia di Castro;31/07/2022;21,3;33,2
Itri;01/07/2022;22,7;31,1
Itri;02/07/2022;23,9;33,7
Itri;03/07/2022;26,8;33,7
Itri;04/07/2022;24,1;32,8
Itri;05/07/2022;23,0;30,0
Itri;06/07/2022;22,3;31,2
Itri;07/07/2022;22,1;29,9
Itri;08/07/2022;15,7;27,8
Itri;09/07/2022;20,1;26,8
Itri;10/07/2022;20,0;28,9
Itri;11/07/2022;21,2;28,1
Itri;12/07/2022;21,2;26,9
Itri;13/07/2022;20,3;28,7
Itri;14/07/2022;21,8;29,2
Itri;15/07/2022;22,0;29,8
Itri;16/07/2022;21,5;31,8
Itri;17/07/2022;23,8;31,7
Itri;18/07/2022;26,4;34,2
Itri;19/07/2022;25,2;32,8
Itri;20/07/2022;25,4;32,9
Itri;21/07/2022;24,5;31,3
Itri;22/07/2022;23,1;31,2
Itri;23/07/2022;23,5;30,9
Itri;24/07/2022;23,0;30,7
Itri;25/07/2022;22,7;29,6
Itri;26/07/2022;22,9;29,4
Itri;27/07/2022;22,6;29,7
Itri;28/07/2022;22,6;29,6
Itri;29/07/2022;21,8;28,9
Itri;30/07/2022;22,5;29,4
Itri;31/07/2022;22,4;31,1
Ladispoli rlazio;01/07/2022;19;31,2
Ladispoli rlazio;02/07/2022;20,3;30,2
Ladispoli rlazio;03/07/2022;23,1;31,5
Ladispoli rlazio;04/07/2022;23,4;31,7
Ladispoli rlazio;05/07/2022;22,5;30
Ladispoli rlazio;06/07/2022;22,3;30,3
Ladispoli rlazio;07/07/2022;22,4;29
Ladispoli rlazio;08/07/2022;18,1;30,6
Ladispoli rlazio;09/07/2022;21,5;33,2
Ladispoli rlazio;10/07/2022;20,7;27,5
Ladispoli rlazio;11/07/2022;19,6;27,5
Ladispoli rlazio;12/07/2022;20,3;28,4
Ladispoli rlazio;13/07/2022;21;28,4
Ladispoli rlazio;14/07/2022;21,4;28,2
Ladispoli rlazio;15/07/2022;21,7;29,4
Ladispoli rlazio;16/07/2022;21,3;30,2
Ladispoli rlazio;17/07/2022;21,1;29,4
Ladispoli rlazio;18/07/2022;22;30,1
Ladispoli rlazio;19/07/2022;22,7;31,1
Ladispoli rlazio;20/07/2022;23,2;30,3
Ladispoli rlazio;21/07/2022;22,7;30,9
Ladispoli rlazio;22/07/2022;23,7;31,7
Ladispoli rlazio;23/07/2022;22,5;31,2
Ladispoli rlazio;24/07/2022;23,7;30,3
Ladispoli rlazio;25/07/2022;23,9;31,3
Ladispoli rlazio;26/07/2022;23,8;32
Ladispoli rlazio;27/07/2022;24,8;31,5
Ladispoli rlazio;28/07/2022;23,7;30,8
Ladispoli rlazio;29/07/2022;22,4;30,1
Ladispoli rlazio;30/07/2022;23,4;31
Ladispoli rlazio;31/07/2022;23,6;31,1
Lago di Albano;01/07/2022;20,3;34,7
Lago di Albano;02/07/2022;20,2;37,7
Lago di Albano;03/07/2022;22,6;37,7
Lago di Albano;04/07/2022;23,7;38
Lago di Albano;05/07/2022;23,2;35,2
Lago di Albano;06/07/2022;22;36,2
Lago di Albano;07/07/2022;23,7;33,8
Lago di Albano;08/07/2022;17,2;32,2
Lago di Albano;09/07/2022;19,2;33
Lago di Albano;10/07/2022;19;30,9
Lago di Albano;11/07/2022;18,9;32,4
Lago di Albano;12/07/2022;19,9;32,7
Lago di Albano;13/07/2022;21,3;31,7
Lago di Albano;14/07/2022;20;32,1
Lago di Albano;15/07/2022;20,9;36,1
Lago di Albano;16/07/2022;21,5;35,1
Lago di Albano;17/07/2022;22;36,9
Lago di Albano;18/07/2022;23,4;36,7
Lago di Albano;19/07/2022;23,4;35,9
Lago di Albano;20/07/2022;22,9;35,4
Lago di Albano;21/07/2022;22;36,8
Lago di Albano;22/07/2022;23,1;38
Lago di Albano;23/07/2022;22,5;37
